id,depart,arrival,duration,waitingTime,timeLoss,routeLength,ai
6,6.0,51.0,45.0,13.0,29.72,430.6,results/tripinfo_ai.xml
41,41.0,54.0,13.0,0.0,6.84,147.2,results/tripinfo_ai.xml
26,26.0,57.0,31.0,7.0,19.87,128.41,results/tripinfo_ai.xml
2,2.0,59.0,57.0,8.0,34.89,540.14,results/tripinfo_ai.xml
14,14.0,61.0,47.0,0.0,23.06,506.52,results/tripinfo_ai.xml
60,60.0,77.0,17.0,0.0,9.54,161.06,results/tripinfo_ai.xml
19,19.0,91.0,72.0,26.0,54.1,505.02,results/tripinfo_ai.xml
8,8.0,100.0,92.0,38.0,66.18,519.34,results/tripinfo_ai.xml
31,31.0,101.0,70.0,26.0,50.55,515.94,results/tripinfo_ai.xml
17,17.0,102.0,85.0,39.0,66.67,378.7,results/tripinfo_ai.xml
15,15.0,103.0,88.0,20.0,52.13,746.12,results/tripinfo_ai.xml
4,4.0,109.0,105.0,33.0,73.71,695.69,results/tripinfo_ai.xml
18,18.0,117.0,99.0,75.0,84.6,155.98,results/tripinfo_ai.xml
117,117.0,118.0,1.0,0.0,0.84,0.0,results/tripinfo_ai.xml
28,28.0,141.0,113.0,59.0,86.53,714.81,results/tripinfo_ai.xml
113,113.0,143.0,30.0,0.0,14.97,299.81,results/tripinfo_ai.xml
69,69.0,146.0,77.0,36.0,57.4,370.96,results/tripinfo_ai.xml
101,101.0,146.0,45.0,3.0,18.88,464.43,results/tripinfo_ai.xml
72,72.0,154.0,82.0,27.0,58.61,500.54,results/tripinfo_ai.xml
71,71.0,163.0,92.0,31.0,65.65,660.82,results/tripinfo_ai.xml
39,39.0,166.0,127.0,60.0,92.67,802.61,results/tripinfo_ai.xml
64,64.0,184.0,120.0,80.0,104.64,277.82,results/tripinfo_ai.xml
5,5.0,186.0,181.0,109.0,146.45,716.45,results/tripinfo_ai.xml
106,106.0,188.0,82.0,31.0,61.36,504.33,results/tripinfo_ai.xml
33,33.0,190.0,157.0,61.0,118.12,964.37,results/tripinfo_ai.xml
1,1.0,191.0,190.0,113.0,160.7,678.16,results/tripinfo_ai.xml
