id,depart,arrival,duration,waitingTime,timeLoss,routeLength
345,1725.0,1991.0,266.0,148.0,212.87,1178.01
358,1790.0,1991.0,201.0,108.0,160.51,926.41
351,1755.0,1993.0,238.0,140.0,190.41,982.04
350,1750.0,1994.0,244.0,139.0,202.51,1017.41
300,1500.0,2000.0,500.0,395.0,467.82,775.24
364,1820.0,2002.0,182.0,103.0,144.68,811.56
319,1595.0,2014.0,419.0,329.0,387.11,669.03
363,1815.0,2033.0,218.0,117.0,175.63,1015.61
380,1900.0,2036.0,136.0,51.0,91.36,947.62
388,1940.0,2037.0,97.0,52.0,84.12,379.83
396,1980.0,2043.0,63.0,10.0,46.28,373.91
397,1985.0,2043.0,58.0,24.0,42.99,454.67
374,1870.0,2048.0,178.0,88.0,134.88,942.55
375,1875.0,2055.0,180.0,92.0,142.37,687.83
377,1885.0,2071.0,186.0,119.0,168.8,476.54
370,1850.0,2078.0,228.0,149.0,199.93,758.14
378,1890.0,2080.0,190.0,107.0,147.26,715.52
365,1825.0,2081.0,256.0,140.0,215.96,1113.14
372,1860.0,2082.0,222.0,135.0,167.9,757.41
395,1975.0,2085.0,110.0,48.0,90.05,528.63
403,2015.0,2087.0,72.0,40.0,56.84,417.23
327,1980.0,2090.0,110.0,86.0,98.94,220.34
323,1615.0,2096.0,481.0,324.0,410.61,1462.51
410,2050.0,2105.0,55.0,1.0,27.46,720.32
371,1855.0,2108.0,253.0,156.0,201.83,1267.61
391,1955.0,2119.0,164.0,88.0,130.69,638.72
398,1990.0,2121.0,131.0,84.0,116.69,423.29
392,1960.0,2122.0,162.0,74.0,126.83,889.78
362,1810.0,2126.0,316.0,191.0,272.5,1265.92
409,2045.0,2131.0,86.0,44.0,67.78,479.61
381,1905.0,2136.0,231.0,122.0,177.84,1096.08
400,2000.0,2137.0,137.0,87.0,117.87,409.42
411,2055.0,2138.0,83.0,31.0,63.35,476.02
399,1995.0,2162.0,167.0,89.0,126.99,965.81
405,2025.0,2165.0,140.0,90.0,116.89,586.12
366,1831.0,2168.0,337.0,217.0,294.91,1244.47
382,1910.0,2178.0,268.0,160.0,222.46,944.24
407,2035.0,2182.0,147.0,56.0,103.45,902.02
376,1892.0,2184.0,292.0,171.0,242.38,1257.63
384,1920.0,2184.0,264.0,186.0,237.61,691.5
356,1780.0,2185.0,405.0,255.0,326.84,1834.79
369,1845.0,2191.0,346.0,282.0,321.35,573.88
417,2085.0,2194.0,109.0,40.0,87.08,607.92
361,1805.0,2206.0,401.0,313.0,371.45,630.16
413,2065.0,2213.0,148.0,97.0,122.09,437.45
408,2133.0,2214.0,81.0,50.0,68.7,226.62
404,2020.0,2217.0,197.0,119.0,160.34,788.18
389,1945.0,2222.0,277.0,149.0,224.32,1214.89
425,2125.0,2224.0,99.0,42.0,68.8,696.94
418,2090.0,2225.0,135.0,61.0,97.33,902.33
414,2070.0,2252.0,182.0,110.0,151.97,728.62
435,2175.0,2252.0,77.0,34.0,56.85,449.71
421,2105.0,2259.0,154.0,114.0,139.11,376.48
432,2160.0,2261.0,101.0,57.0,81.26,509.62
401,2005.0,2280.0,275.0,143.0,218.29,1429.07
416,2080.0,2288.0,208.0,131.0,176.85,864.27
200,1000.0,2290.0,1290.0,1233.0,1264.41,506.34
415,2075.0,2296.0,221.0,137.0,187.41,921.7
436,2180.0,2297.0,117.0,81.0,102.12,308.81
394,1970.0,2306.0,336.0,201.0,287.92,1305.48
379,1895.0,2309.0,414.0,229.0,316.01,1890.55
402,2010.0,2311.0,301.0,200.0,264.55,939.92
428,2140.0,2311.0,171.0,83.0,130.24,994.37
450,2250.0,2320.0,70.0,35.0,57.74,288.32
440,2200.0,2325.0,125.0,70.0,102.18,416.11
442,2210.0,2329.0,119.0,56.0,95.29,593.55
453,2265.0,2343.0,78.0,37.0,60.73,451.13
429,2145.0,2345.0,200.0,123.0,172.93,875.76
434,2170.0,2348.0,178.0,90.0,120.18,748.16
393,1965.0,2349.0,384.0,268.0,341.0,1291.42
438,2190.0,2350.0,160.0,97.0,137.38,650.96
427,2135.0,2356.0,221.0,147.0,196.44,657.4
431,2155.0,2361.0,206.0,137.0,174.1,556.61
441,2205.0,2366.0,161.0,72.0,105.99,1222.45
445,2225.0,2374.0,149.0,64.0,102.94,755.85
430,2150.0,2384.0,234.0,141.0,210.61,781.26
420,2100.0,2396.0,296.0,177.0,239.91,1259.53
444,2220.0,2396.0,176.0,89.0,142.14,839.98
423,2115.0,2398.0,283.0,191.0,251.2,725.2
412,2060.0,2402.0,342.0,270.0,312.52,633.88
390,1950.0,2405.0,455.0,331.0,406.37,1328.23
439,2195.0,2405.0,210.0,120.0,164.9,1107.19
386,1930.0,2411.0,481.0,293.0,406.23,1850.86
455,2275.0,2414.0,139.0,74.0,105.42,724.52
419,2095.0,2436.0,341.0,236.0,299.58,1112.93
426,2130.0,2436.0,306.0,182.0,258.14,1128.64
448,2240.0,2438.0,198.0,88.0,149.17,1057.18
437,2185.0,2441.0,256.0,142.0,214.37,1124.28
449,2245.0,2441.0,196.0,128.0,165.39,858.41
458,2290.0,2454.0,164.0,96.0,128.86,647.41
451,2255.0,2457.0,202.0,124.0,160.53,674.64
406,2030.0,2459.0,429.0,319.0,378.72,1210.02
465,2325.0,2465.0,140.0,80.0,113.11,720.53
387,1935.0,2466.0,531.0,437.0,485.36,1031.25
464,2320.0,2471.0,151.0,91.0,124.61,747.65
456,2280.0,2477.0,197.0,107.0,165.75,855.76
433,2165.0,2484.0,319.0,237.0,289.22,767.74
473,2365.0,2485.0,120.0,44.0,85.45,805.0
470,2350.0,2493.0,143.0,82.0,120.14,563.67
474,2370.0,2513.0,143.0,68.0,114.85,728.53
467,2335.0,2525.0,190.0,98.0,146.26,1181.21
503,2515.0,2533.0,18.0,0.0,10.3,183.94
469,2345.0,2534.0,189.0,119.0,154.21,773.62
447,2235.0,2535.0,300.0,174.0,253.56,1301.83
452,2260.0,2535.0,275.0,160.0,223.29,1132.24
460,2300.0,2541.0,241.0,141.0,206.15,909.13
495,2475.0,2541.0,66.0,37.0,51.48,332.47
462,2342.0,2542.0,200.0,111.0,164.58,864.97
476,2380.0,2548.0,168.0,89.0,130.19,752.51
468,2340.0,2551.0,211.0,104.0,162.98,1273.35
454,2270.0,2554.0,284.0,138.0,221.64,1322.24
466,2330.0,2572.0,242.0,133.0,195.56,1025.08
475,2375.0,2579.0,204.0,142.0,178.24,499.34
482,2410.0,2592.0,182.0,80.0,141.3,1073.62
446,2230.0,2611.0,381.0,282.0,340.8,1047.73
484,2420.0,2613.0,193.0,124.0,159.06,668.46
461,2341.0,2615.0,274.0,176.0,233.21,977.07
496,2480.0,2621.0,141.0,81.0,120.85,488.46
483,2415.0,2622.0,207.0,133.0,179.74,662.89
424,2120.0,2627.0,507.0,390.0,461.74,1089.52
499,2495.0,2627.0,132.0,66.0,110.94,617.94
486,2430.0,2634.0,204.0,103.0,166.22,1145.32
497,2485.0,2637.0,152.0,72.0,118.02,783.73
487,2435.0,2638.0,203.0,130.0,170.72,897.85
510,2550.0,2638.0,88.0,46.0,73.62,321.15
488,2440.0,2639.0,199.0,112.0,162.77,982.95
