id,depart,arrival,duration,waitingTime,timeLoss,routeLength,ai
272,544.0,1339.0,795.0,664.0,762.19,863.31,results/tripinfo_ai.xml
561,1122.0,1339.0,217.0,105.0,174.12,1015.83,results/tripinfo_ai.xml
496,992.0,1341.0,349.0,283.0,328.27,488.46,results/tripinfo_ai.xml
514,1028.0,1342.0,314.0,228.0,288.85,691.08,results/tripinfo_ai.xml
519,1038.0,1342.0,304.0,181.0,263.11,1042.35,results/tripinfo_ai.xml
619,1238.0,1342.0,104.0,30.0,74.63,674.9,results/tripinfo_ai.xml
638,1276.0,1342.0,66.0,35.0,50.71,269.74,results/tripinfo_ai.xml
481,962.0,1343.0,381.0,223.0,332.87,1309.31,results/tripinfo_ai.xml
645,1290.0,1345.0,55.0,12.0,38.9,320.31,results/tripinfo_ai.xml
551,1102.0,1349.0,247.0,164.0,214.76,704.2,results/tripinfo_ai.xml
590,1180.0,1354.0,174.0,84.0,139.76,918.88,results/tripinfo_ai.xml
639,1278.0,1356.0,78.0,10.0,50.0,646.91,results/tripinfo_ai.xml
280,560.0,1358.0,798.0,671.0,748.92,1244.22,results/tripinfo_ai.xml
586,1172.0,1361.0,189.0,97.0,154.8,867.94,results/tripinfo_ai.xml
545,1090.0,1369.0,279.0,222.0,253.53,597.33,results/tripinfo_ai.xml
472,944.0,1373.0,429.0,260.0,360.5,1526.21,results/tripinfo_ai.xml
520,1040.0,1373.0,333.0,256.0,315.92,376.44,results/tripinfo_ai.xml
582,1164.0,1373.0,209.0,104.0,166.93,897.82,results/tripinfo_ai.xml
507,1014.0,1375.0,361.0,213.0,281.21,1438.14,results/tripinfo_ai.xml
371,749.0,1377.0,628.0,490.0,578.28,1267.61,results/tripinfo_ai.xml
571,1142.0,1377.0,235.0,125.0,196.2,960.9,results/tripinfo_ai.xml
632,1264.0,1377.0,113.0,48.0,85.16,855.35,results/tripinfo_ai.xml
508,1020.0,1378.0,358.0,186.0,300.18,1541.65,results/tripinfo_ai.xml
521,1042.0,1378.0,336.0,191.0,291.14,1253.96,results/tripinfo_ai.xml
560,1120.0,1381.0,261.0,121.0,208.88,1560.19,results/tripinfo_ai.xml
570,1140.0,1381.0,241.0,175.0,224.17,455.05,results/tripinfo_ai.xml
635,1272.0,1381.0,109.0,57.0,95.8,407.78,results/tripinfo_ai.xml
602,1204.0,1382.0,178.0,91.0,147.25,798.99,results/tripinfo_ai.xml
531,1062.0,1384.0,322.0,176.0,274.01,1274.4,results/tripinfo_ai.xml
581,1162.0,1384.0,222.0,93.0,169.77,1241.61,results/tripinfo_ai.xml
610,1220.0,1385.0,165.0,92.0,142.41,575.71,results/tripinfo_ai.xml
648,1296.0,1385.0,89.0,13.0,57.33,669.38,results/tripinfo_ai.xml
609,1218.0,1387.0,169.0,76.0,138.86,757.17,results/tripinfo_ai.xml
589,1178.0,1388.0,210.0,128.0,179.38,707.13,results/tripinfo_ai.xml
572,1144.0,1389.0,245.0,135.0,200.88,1120.98,results/tripinfo_ai.xml
